TrackID,Mean_Speed,P75_Speed,P90_Speed,P95_Speed
3,3.1388796394576213,3.6339720666039863,3.841032797643006,4.079337672014616
4,3.9125485680162866,4.711748214529772,5.170871973493466,5.352421670999875
5,2.1978378577911406,2.8465597629427144,3.2595233849464647,3.796413615049954
6,3.2288443819400903,4.328430018421606,4.886576365388042,4.94474570333321
7,3.278013807360915,4.23305147770172,4.756425983261996,4.9486359722319495
8,4.7718825336731525,6.806256718825837,7.46697389609903,7.695189347074966
9,5.284959662354516,6.114335836008472,6.623513614537723,6.853427859696621
10,3.887641786850634,4.922077843063976,5.2671750533789226,5.34007610903276
11,3.826581363822847,4.454190113574667,5.5363697322378815,5.8056242900048005
12,3.0174369976927418,3.6960823711402915,4.618510018522292,4.916752563134375
13,5.248632821737074,6.626186374951198,6.908481977376236,7.219719600349023
14,3.5654337258812343,4.588606898988647,4.809796069360097,4.91862732457557
15,2.9704779407546056,3.653947300641919,4.40614942065177,4.773978150559264
16,3.5901941277351614,5.850807890085626,7.370304154027769,7.503751321993291
17,6.200301110229511,6.469146312615437,8.905671368698956,9.676750398884366
18,4.537547331959416,4.963223903138777,6.780997210420637,8.062128578545922
19,4.135160036669621,5.156913291738341,5.237046798948143,5.313417074402133
20,3.6419858579216733,5.099585685011555,5.733923345935844,5.847429512856634
21,3.185119624331021,4.207370846979682,5.0925457992268806,5.460852719765444
22,3.6660895792686126,4.62039628909009,4.99420142587829,5.108726774487428
23,4.51221558288736,5.542375435370827,5.592166221430759,5.603585217236092
24,5.504839606324773,7.172738420597306,7.267842678342796,7.324556658905248
25,6.127507023734967,7.270940179333846,7.362182784074936,7.469563905148486
26,5.654914139210424,6.992192913606126,7.087206773512039,7.213214807662848
27,5.654914139210424,6.992192913606126,7.087206773512039,7.213214807662848
28,5.769620186898207,7.429795909099341,7.967995294494617,8.127889746039104
29,3.8675526262236173,5.03703445362407,6.529879380194511,7.369676816897939
30,5.880662631059515,7.631188371835568,9.022067241306422,9.87612624208712
31,5.089068731884333,6.737059919892502,7.0511363886584695,7.271195625065229
32,4.815457847662224,6.246566893192556,6.566126014323469,6.79707033649355
33,3.695735620949695,4.760498191658638,5.688560028981643,6.023145619605558
35,4.215110901253011,5.141683122098929,6.676195341786408,7.165375025420361
36,2.6790764383382197,3.361128147198065,3.6467034413914208,4.188316891807097
37,2.9855578784501065,4.031860084206402,4.694546961304036,4.966608561673599
38,3.858229287139078,5.34326294578452,5.808553722941223,5.889435790663886
39,3.5272711371513403,4.578854258593595,5.1612710221578535,5.48115766199294
40,4.309543048460237,6.581061747674915,6.890848911084626,6.981989110986422
41,5.211724802021247,7.205167501617681,7.310102113247081,7.361226365987957
42,4.772867978416536,6.412402694417672,6.699087984848049,6.870562614221159
43,3.265153319596839,4.579759977798653,5.058262848639269,5.0928358785944745
44,4.2267970431553685,5.569045274170337,6.385856917871043,6.724536170642381
46,5.2168871221696715,6.212466007658554,6.4453637634417476,6.5497405367009085
47,2.53876140056307,3.62389631406443,3.775287024935055,3.86138308477436
48,4.726891671804994,5.36790583152785,5.724679410019509,5.85122379490852
56,2.8472167421215953,3.4146816725518723,3.65922860604106,3.7111682404995756
57,5.671957996800778,6.788002801153548,7.165825230110894,7.237007183369062
58,5.174007665237763,6.86642203727412,7.3998459001653565,7.499542888201662
60,4.783947535975124,5.984637381062658,6.112415277866675,7.680430553480594
61,5.008923438638344,5.508569067454078,5.71692583752402,5.931456015659108
62,3.8981423647053886,4.341522075533446,4.3744448558247555,4.3806506887591565
63,3.4910669271251726,4.517809114761425,5.121117757050774,5.208891138761086
64,2.0007136474258966,2.5854862370310183,2.7616933782069557,2.7865732051284957
66,4.73904905212169,5.742313758825206,6.668453982399364,6.9363817722470085
67,3.040164271153693,4.003403834336813,4.318732220036222,5.197217733310593
68,1.704175146016349,2.3553813272276054,3.687738443884155,4.021981901154221
69,3.745114769704284,5.062313260857223,5.307043591973631,5.326203709656629
71,3.4070336717114476,3.8603075644956615,4.818734331978208,5.1308389823460345
72,4.295992207836693,6.30646478988357,6.729101647910794,7.044847330597537
73,4.0299066621158754,5.060031188934807,5.316131252744735,5.377396135809224
75,2.4754847972487326,3.409322975019338,3.8092913561998922,4.430927763357859
77,4.873758759652051,6.157241763271802,7.305783658913357,7.6046196013539715
