Dep_ID,Video_ID,Response_Video,Group_Size,Loom_Speed,Site,Site_Rep,Trial_Event,Fish_ID,Species,Size,Response_Present,Responseframe_LF,Responseframe_cam3,After_FR,Response_Rank,Response_Category,Speed,Closest_Coral,Distance_to_Coral,X_Coral,Y_Coral,Z_Coral,Distance_to_Stimulus,Neighbor_Proximity,Stimulus_Side,NAS,N,Orientation_Angle,Viewing_Angle,Response_Binary
1,1,No,6,4.0,1,1,1,4,BicolorDamselfish,21.37844547652478,No,,,,,NRL_nr,,1.0,74.6663954989582,1149.1552723228524,-365.3462589757127,2471.4996211130624,1647.0238646662222,5.925217631067272,R,7.74986835145073,6.370707252526646,52.31922515845165,48.117892000763895,0
1,1,No,6,4.0,1,1,1,5,BicolorDamselfish,39.30338733874578,No,,,,,NRL_nr,,1.0,302.49616275165084,742.6808449826017,131.72855906639273,2329.9353887189836,719.5345601180877,10.062313274909313,L,11.14105173908553,0.0,161.06672528453285,38.3973858714737,0
1,2,No,11,1.0,1,1,2,1,BicolorDamselfish,29.15249066398997,No,,,,,NRL_nr,,1.0,145.4450211148239,964.3866504869144,-278.30782303738744,2392.367018516566,1437.3639556172875,30.401234231622983,R,26.63710241259448,14.647112731504333,22.369227301817027,41.7060145170764,0
1,2,No,11,1.0,1,1,2,2,BicolorDamselfish,35.6543673294867,No,,,,,NRL_nr,,2.0,71.67184093042113,1104.6383162264826,-873.2068032655905,2582.508124188548,2010.963829280588,15.552860731003452,L,14.24912004332409,13.035750888228746,59.88943150634048,41.711544882452,0
1,2,No,11,1.0,1,1,2,3,BicolorDamselfish,41.25980138860668,No,,,,,NRL_nr,,2.0,312.09669728646594,953.487750372908,-896.3918666466657,2613.258545393473,1697.1224807212968,23.479709344554585,L,18.294912325957675,18.294912325957675,65.54148945948597,36.69955279114577,0
1,2,No,11,1.0,1,1,2,5,BicolorDamselfish,51.99742768792768,No,,,,,NRL_nr,,1.0,353.3012011004658,742.6808449826017,131.72855906639273,2329.9353887189836,721.3595665893041,42.13020133812806,R,34.253069040345494,18.73151998443272,115.7320114599613,43.21797212788867,0
1,2,No,11,1.0,1,1,2,6,BicolorDamselfish,36.51381598830079,No,,,,,NRL_nr,,1.0,437.5905837616603,739.0189522300127,125.14102126602704,2336.959416943841,660.917427461154,47.05364641549247,R,32.15749771033087,28.16222022424294,140.7831853608674,26.17710523077347,0
1,2,No,11,1.0,1,1,2,7,BicolorDamselfish,29.59667813859881,No,,,,,NRL_nr,,1.0,354.2577694309233,681.404086040885,21.495137968230893,2447.4728791411303,934.0861529495788,30.976707781156623,R,27.182373840334364,19.30876137681523,45.95783352695053,27.011920764951803,0
1,2,No,11,1.0,1,1,2,10,BicolorDamselfish,48.24864780841894,No,,,,,NRL_nr,,1.0,492.3237881528795,742.6808449826017,131.72855906639273,2329.9353887189836,483.983163316385,36.77738807975745,R,29.58716246521752,5.101553411454004,50.16096712434754,49.90062437045433,0
1,2,No,11,1.0,1,1,2,11,BicolorDamselfish,24.468122165778833,No,,,,,NRL_nr,,1.0,161.8547428388058,900.413507495668,-6.0119078516976,2254.954571886995,1170.2965471170503,33.02433050558941,R,27.800265168723637,15.429615748477364,20.580081635203182,46.09173457743294,0
1,3,No,11,0.5,1,1,3,1,BicolorDamselfish,43.60532825742854,No,,,,,NRL_nr,,1.0,320.2262875359067,843.2712703345186,-187.9993382116444,2427.2173984096876,1330.8764914102755,30.018399327786685,L,24.326942917776194,18.92265600685224,106.6080798137484,30.37586038739204,0
1,3,No,11,0.5,1,1,3,3,BicolorDamselfish,45.91170355506876,No,,,,,NRL_nr,,1.0,658.6069788538083,742.6808449826017,131.72855906639273,2329.9353887189836,351.41221570675174,130.90513611625008,R,42.88860763852149,29.182405873509452,99.62385266721198,43.86694204763495,0
1,3,No,11,0.5,1,1,3,4,BicolorDamselfish,31.29122124591062,No,,,,,NRL_nr,,1.0,572.5945248044571,841.3516086453549,-185.51484129666505,2427.457618010253,1486.578370937933,21.4041658178239,R,20.01110860045521,17.59612307167074,57.425241455599306,22.692697946864932,0
