Dep_ID,Video_ID,Response_Video,Loom_Speed,Site,Site_Rep,Trial_Event,Fish_ID,Species,Size,Response_Present,Responseframe_LF,After_FR,Response_Rank,Response_Category,Distance_to_Coral,Distance_to_Stimulus,Neighbor_Proximity,NAS,N,Orientation_Angle,Viewing_Angle,Speed,Response_Binary
1,1,No,4.0,1,1,1,1,BicolorDamselfish,30.773487680676855,No,,,,NRNL_nr,331.4751271215516,843.5000134497433,17.982444831198737,17.295224546708326,,98.46601113977876,67.95881069840046,,0
1,1,No,4.0,1,1,1,2,BrownChromis,46.38374228317934,No,,,,NRNL_nr,561.9847972464844,1019.644121347967,315.8787147056524,45.467096600409434,,45.48909242951225,94.70899540816036,,0
1,1,No,4.0,1,1,1,3,BicolorDamselfish,29.12458555042247,No,,,,NRNL_nr,208.80208597570433,1893.794991929533,5.40586078285966,5.1318831906806945,,78.66641101600142,61.06925301171763,,0
1,1,No,4.0,1,1,1,4,BicolorDamselfish,21.37844547652478,No,,,,NRL_nr,74.6663954989582,1647.0238335130364,5.925217631067272,7.74986835145073,6.370707252526646,52.31923003602152,48.11788877540154,,0
1,1,No,4.0,1,1,1,5,BicolorDamselfish,39.30338733874578,No,,,,NRL_nr,302.49616275165084,719.534546628838,10.062313274909313,11.14105173908553,0.0,161.06672529226853,38.397382288278195,,0
1,1,No,4.0,1,1,1,6,BrownChromis,43.25014160013792,No,,,,NRNL_nr,535.2830087948688,991.3048311891343,317.56722786263924,38.11448868261281,,65.71806242597474,91.89484556833068,,0
1,2,No,1.0,1,1,2,1,BicolorDamselfish,29.15249066398997,No,,,,NRL_nr,145.4450211148239,1437.363940305288,30.401234231622983,26.63710241259448,14.647112731504333,22.36922588731773,41.70601102572838,,0
1,2,No,1.0,1,1,2,2,BicolorDamselfish,35.6543673294867,No,,,,NRL_nr,71.67184093042113,2010.963799344368,15.552860731003452,14.24912004332409,13.035750888228746,59.88942719200514,41.71154166925033,,0
1,2,No,1.0,1,1,2,3,BicolorDamselfish,41.25980138860668,No,,,,NRL_nr,312.09669728646594,1697.1224463494214,23.479709344554585,18.294912325957675,18.294912325957675,65.5414866070409,36.699549494801325,,0
1,2,No,1.0,1,1,2,4,BicolorDamselfish,47.76645563830685,No,,,,NRNL_nr,132.9588228715215,1758.6096365368169,10.780092508557544,17.808543286868094,,62.74753297685202,62.13087453539222,,0
1,2,No,1.0,1,1,2,5,BicolorDamselfish,51.99742768792768,No,,,,NRL_nr,353.3012011004658,721.359572978542,42.13020133812806,34.253069040345494,18.73151998443272,115.73201350738287,43.21796958638657,,0
1,2,No,1.0,1,1,2,6,BicolorDamselfish,36.51381598830079,No,,,,NRL_nr,437.5905837616603,660.9173998586809,47.05364641549247,32.15749771033087,28.16222022424294,140.78318817818146,26.177099906858743,,0
1,2,No,1.0,1,1,2,7,BicolorDamselfish,29.59667813859881,No,,,,NRL_nr,354.2577694309233,934.0861077416278,30.976707781156623,27.182373840334364,19.30876137681523,45.95783845619616,27.011915974335096,,0
1,2,No,1.0,1,1,2,8,BrownChromis,46.31775777719766,No,,,,NRNL_nr,666.6314531208392,463.4450955544461,27.264964364037738,29.441407453741675,,87.92162159250357,72.66691188833641,,0
1,2,No,1.0,1,1,2,9,BrownChromis,58.96008970212983,No,,,,NRNL_nr,734.0427681454022,853.0710097640614,14.86699904101174,17.96555150072955,,132.5065565783412,94.89817659502457,,0
1,2,No,1.0,1,1,2,10,BicolorDamselfish,48.24864780841894,No,,,,NRL_nr,492.3237881528795,483.98311572975103,36.77738807975745,29.58716246521752,5.101553411454004,50.16096857121145,49.900619211959715,,0
1,2,No,1.0,1,1,2,11,BicolorDamselfish,24.468122165778833,No,,,,NRL_nr,161.8547428388058,1170.2965448466728,33.02433050558941,27.800265168723637,15.429615748477364,20.580080994686632,46.0917312407822,,0
1,3,No,0.5,1,1,3,1,BicolorDamselfish,43.60532825742854,No,,,,NRL_nr,320.2262875359067,1330.876471598107,30.018399327786685,24.326942917776194,18.92265600685224,106.60807622705929,30.3758566950404,,0
1,3,No,0.5,1,1,3,2,BicolorDamselfish,44.186569729624466,No,,,,NRNL_nr,706.3477277702015,357.6197893031849,129.15677275338925,36.90275241357917,,68.04234358422175,55.268912014317394,,0
1,3,No,0.5,1,1,3,3,BicolorDamselfish,45.91170355506876,No,,,,NRL_nr,658.6069788538083,351.41214697628567,130.90513611625008,42.88860763852149,29.182405873509452,99.62385664496831,43.86693247974714,,0
1,3,No,0.5,1,1,3,4,BicolorDamselfish,31.29122124591062,No,,,,NRL_nr,572.5945248044571,1486.5783384553126,21.4041658178239,20.01110860045521,17.59612307167074,57.42524403050137,22.692694316968275,,0
1,3,No,0.5,1,1,3,5,BicolorDamselfish,30.87206755257156,No,,,,NRL_nr,393.54841555968176,818.7419120679162,24.06587441636834,27.740761219115335,11.04388123411163,73.39991728214608,24.475517504449464,,0
1,3,No,0.5,1,1,3,6,BicolorDamselfish,39.66523724168799,No,,,,NRL_nr,69.71034042844866,1067.6917238614944,29.32433580548967,24.696426722145976,9.854511685972795,103.64702175995552,40.602659842278086,,0
1,3,No,0.5,1,1,3,7,BrownChromis,44.54685325125325,No,,,,NRNL_nr,305.70772846964417,1237.4529009468392,9.501324899414492,12.177894483606432,,152.6283119687014,76.44265124564693,,0
1,3,No,0.5,1,1,3,8,BrownChromis,36.70533854041412,No,,,,NRNL_nr,110.22475436308297,1979.3128166666856,9.450476184449451,12.035018122064267,,113.10935690181674,57.34001801842778,,0
1,3,No,0.5,1,1,3,9,BrownChromis,48.61162382780378,No,,,,NRL_nr,9.527710577227907,1507.233596986905,17.505004759562414,12.681817800670412,9.373070117011634,132.93476673532348,53.188884468863286,,0
1,3,No,0.5,1,1,3,10,BrownChromis,,No,,,,NRTC,1045.1557313558685,311.49644271860893,10.783870318825864,17.98289350724099,,,76.68978976051076,,0
1,3,No,0.5,1,1,3,11,BicolorDamselfish,,No,,,,NRUD,,,0.0,0.0,0.0,,,,0
1,4,No,1.0,1,1,4,1,Doctorfish,128.6052280524734,No,,,,NRL_nr,673.5659912517012,1253.5350286180071,1.2041553251248036,2.833379612189376,2.833379612189376,156.8056637858052,48.836231693003,,0
1,4,No,1.0,1,1,4,2,BicolorDamselfish,45.668998493890584,No,,,,NRL_nr,229.00329740109024,1742.4724473218168,28.121047307868956,13.405818457880788,11.695954438084083,83.57932514194006,48.01321410496947,,0
1,4,No,1.0,1,1,4,3,BicolorDamselfish,22.712594275828668,No,,,,NRL_nr,212.56004000585276,1540.819244510695,28.58952467519213,14.933983171712356,5.740977104593853,32.01970166142515,46.25605716802757,,0
1,4,No,1.0,1,1,4,4,BicolorDamselfish,42.6568360684985,No,,,,NRL_nr,286.0382331609703,1926.136933769779,4.174179292555393,7.532093523840976,7.532093523840976,79.50596050936488,25.72642108712728,,0
1,4,No,1.0,1,1,4,5,BicolorDamselfish,40.4998928829713,No,,,,NRNL_nr,39.549264495390815,1805.4659181227137,6.291555496418844,8.527609190064826,,53.44696794905234,69.02950607359813,,0
1,4,No,1.0,1,1,4,6,BicolorDamselfish,,No,,,,NRUD,,,0.0,0.0,0.0,,,,0
1,5,No,2.0,1,1,5,1,BicolorDamselfish,37.33800451873584,No,,,,NRL_nr,236.80915105801793,1827.698714065296,22.043108823205873,20.11733034320948,20.11733034320948,135.41135395349082,43.750139216857086,,0
1,5,No,2.0,1,1,5,2,BrownChromis,48.87600793111767,No,,,,NRNL_nr,458.7803613529694,667.5906418781703,56.88084550507837,39.224110905298645,,106.23584572049582,72.55165246965169,,0
1,5,No,2.0,1,1,5,3,BrownChromis,51.78565095285376,No,,,,NRNL_nr,356.0640011405031,920.7878436512603,59.31522349114111,29.282259432513943,,129.2479792089362,82.78559428223329,,0
1,5,No,2.0,1,1,5,4,BicolorDamselfish,32.06170500676306,No,,,,NRL_nr,135.52719316852327,1362.509629132824,40.976853769745176,29.964947473361008,15.68080898094706,161.98317127237053,48.70648284196877,,0
1,5,No,2.0,1,1,5,5,BrownChromis,47.824991003787744,No,,,,NRNL_nr,558.5974563644622,755.9211161039381,52.067079474567144,32.384083025097965,,140.64375216030666,88.80544882380697,,0
1,5,No,2.0,1,1,5,6,BicolorDamselfish,66.73191181276896,No,,,,NRNL_nr,99.14045572662404,1803.5887958019168,31.082790262022687,14.848305606263583,,112.06276434480246,63.26622498207745,,0
1,5,No,2.0,1,1,5,7,BicolorDamselfish,35.48253307653771,No,,,,NRL_nr,332.75127043586554,917.7920799215512,14.961929723473776,23.29525261747822,23.29525261747822,134.73632807804162,25.9410036544941,,0
