Interaction,Chisq,Df,p_value,AIC_full,AIC_base,dAIC,Note_full,Note_base,p_adj_BH
"ns(Loom_Speed,3)_x_log_Distance_to_Coral",9.132939831594513,3,0.027574612174672247,334.03244290175815,337.16538273335266,-3.1329398315945127,NA,NA,0.16544767304803348
"ns(Loom_Speed,3)_x_Species",5.021383624172529,3,0.17023801015099982,338.14399910918013,337.16538273335266,0.9786163758274711,"Model is nearly unidentifiable: large eigenvalue ratio
 - Rescale variables?",NA,0.3241008457133505
"ns(Loom_Speed,3)_x_Neighbor_Proximity",4.780764753176754,3,0.18857275001511814,338.3846179801759,337.16538273335266,1.2192352468232457,NA,NA,0.3241008457133505
Neighbor_Proximity_x_Species,1.5303013009470305,1,0.21606723047556703,337.6350814324056,337.16538273335266,0.46969869905296946,NA,NA,0.3241008457133505
log_Distance_to_Coral_x_Species,0.9962221070993564,1,0.3182263773747334,338.1691606262533,337.16538273335266,1.0037778929006436,NA,NA,0.3818716528496801
Neighbor_Proximity_x_log_Distance_to_Coral,0.5597891237833323,1,0.4543452202694868,338.6055936095693,337.16538273335266,1.4402108762166677,NA,NA,0.4543452202694868
