Variable,Estimate,Std_Error,z_value,p_value
(Intercept),-21.21891640382701,4.839628065894271,-4.384410561084338,1.1630025206838272e-5
SpeciesBicolorDamselfish,-0.8727671653328278,0.5379471635641905,-1.622403136304826,0.10471705807296841
"ns(Loom_Speed, 3)1",11.257154992248918,2.5396517904880556,4.43255844537868,9.312144854361407e-6
"ns(Loom_Speed, 3)2",37.67065470920256,9.465291794447614,3.979872520285148,6.895223335403956e-5
"ns(Loom_Speed, 3)3",9.593329193715675,2.035889325996561,4.712107417243701,2.4516808069234724e-6
Orientation_Angle,-0.08117648888313862,0.158079065341146,-0.513518274592236,0.6075888308799376
Viewing_Angle,-0.7167756251335473,0.15295794544773253,-4.686096057549869,2.784656074273477e-6
log_Distance_to_Coral,0.29346016950462034,0.21507525864021626,1.364453407425763,0.17242490875896588
log_Distance_to_Stimulus,-1.0750280123784852,0.1935570689742095,-5.554062262235059,2.791059929478247e-8
"ns(Trial_Event, 3)1",1.8598658008100792,0.7554679356040868,2.4618725867205664,0.01382137572074979
"ns(Trial_Event, 3)2",-3.843631240616746,1.3116057273648993,-2.93047762786066,0.0033844136269797287
"ns(Trial_Event, 3)3",-3.425948049586252,0.8759208140027254,-3.9112531576120215,9.181846718127395e-5
Neighbor_Proximity,-1.0625838796792793,0.8289589658850209,-1.2818292863806997,0.19990253825930332
