Variable,Estimate,Std_Error,z_value,p_value
(Intercept),-3.6497992239462733,0.6347569810805213,-5.749915846113842,8.928788034133977e-9
SpeciesBicolorDamselfish,-1.1125543252622996,0.4799515699272715,-2.318055393444985,0.020446310746333587
Loom_Speed,1.3657971363393873,0.16811601325275738,8.124134696710613,4.50565178088235e-16
Orientation_Angle,-0.05850224638760694,0.143031958931187,-0.4090152076834276,0.6825285008149123
Viewing_Angle,-0.6608263536597574,0.13810875464314284,-4.784825953772857,1.7113556185658525e-6
Distance_to_Coral,0.11283803088442784,0.1698305727923946,0.6644152994900632,0.5064245433737873
Distance_to_Stimulus,-0.9456252133389956,0.1946003992134642,-4.859317951869694,1.1779083593900935e-6
Trial_Event,-0.2606239612353951,0.15775188726297523,-1.6521131110205374,0.09851149468642596
N,-0.13594354571098177,0.16607499795145128,-0.818567197879612,0.41303338830659925
