"","Loom_Speed","Orientation_Angle","Viewing_Angle","Distance_to_Coral","Distance_to_Stimulus","Neighbor_Proximity","Trial_Event","N","NAS"
"Loom_Speed",1,0.0651360312886593,0.0363563286480287,0.0706764630593832,-0.0148972363985037,0.022682430571468,-0.0255638562433782,0.0521719745689975,0.119727728552334
"Orientation_Angle",0.0651360312886593,1,0.0433197368427751,-0.0199701600719362,0.0137967863825066,0.0356679275337289,0.017501883060919,0.0272150209999877,0.0176336496182089
"Viewing_Angle",0.0363563286480287,0.0433197368427751,1,-0.293175754375778,0.304507209012905,0.020574592931588,0.0231470698127835,0.11719561254713,0.204713049377126
"Distance_to_Coral",0.0706764630593832,-0.0199701600719362,-0.293175754375778,1,-0.277131703991359,-0.0734155269036787,-0.0044972859797766,-0.0482743827581218,-0.116775863853393
"Distance_to_Stimulus",-0.0148972363985037,0.0137967863825066,0.304507209012905,-0.277131703991359,1,0.00579222781638969,0.0300377565076054,0.222217901151833,0.0460582896462534
"Neighbor_Proximity",0.022682430571468,0.0356679275337289,0.020574592931588,-0.0734155269036787,0.00579222781638969,1,0.0275892379478223,0.173519576318846,0.320471693520572
"Trial_Event",-0.0255638562433782,0.017501883060919,0.0231470698127835,-0.0044972859797766,0.0300377565076054,0.0275892379478223,1,-0.0219479920631099,0.0125736236186261
"N",0.0521719745689975,0.0272150209999877,0.11719561254713,-0.0482743827581218,0.222217901151833,0.173519576318846,-0.0219479920631099,1,0.701833139110978
"NAS",0.119727728552334,0.0176336496182089,0.204713049377126,-0.116775863853393,0.0460582896462534,0.320471693520572,0.0125736236186261,0.701833139110978,1
