Variable,Estimate,Std_Error,z_value,p_value
(Intercept),-3.619331560069698,0.6408042379208428,-5.648108027208125,1.62223232796177e-8
SpeciesBicolorDamselfish,-1.108135118733698,0.4796445249304139,-2.3103257957431387,0.02087012383628209
Loom_Speed,1.3715033093179319,0.1685512635526665,8.13700995418159,4.051594179349504e-16
Orientation_Angle,-0.05940962077331359,0.14368932742874035,-0.41345882701536424,0.6792704821771987
Viewing_Angle,-0.6553528718793377,0.13842411859589726,-4.734383563550186,2.1972186330124015e-6
Distance_to_Coral,0.12074689676323723,0.17357885304664147,0.6956313781540655,0.4866597102384119
Distance_to_Stimulus,-0.9787197212173995,0.19135464771030442,-5.114690094693193,3.1425647100816616e-7
Trial_Event,-0.25680702387395654,0.15735842393223878,-1.6319877732414378,0.10268206192100222
NAS,0.03721144623001402,0.20878641954192656,0.17822733064561969,0.8585444465796122
