"","Loom_Speed","Orientation_Angle","Viewing_Angle","Distance_to_Coral","Distance_to_Stimulus","Trial_Event","Neighbor_Proximity"
"Loom_Speed",1,0.0651360312886594,0.0363563286480288,0.0706764630593832,-0.0148972363985036,-0.0255638562433781,0.022682430571468
"Orientation_Angle",0.0651360312886594,1,0.0433197368427751,-0.0199701600719362,0.0137967863825066,0.017501883060919,0.0356679275337289
"Viewing_Angle",0.0363563286480288,0.0433197368427751,1,-0.293175754375779,0.304507209012904,0.0231470698127836,0.020574592931588
"Distance_to_Coral",0.0706764630593832,-0.0199701600719362,-0.293175754375779,1,-0.277131703991359,-0.00449728597977664,-0.0734155269036787
"Distance_to_Stimulus",-0.0148972363985036,0.0137967863825066,0.304507209012904,-0.277131703991359,1,0.0300377565076053,0.00579222781638975
"Trial_Event",-0.0255638562433781,0.017501883060919,0.0231470698127836,-0.00449728597977664,0.0300377565076053,1,0.0275892379478223
"Neighbor_Proximity",0.022682430571468,0.0356679275337289,0.020574592931588,-0.0734155269036787,0.00579222781638975,0.0275892379478223,1
