Variable,Estimate,Std_Error,z_value,p_value
(Intercept),-3.6890596486021803,0.6442869780722109,-5.725801970482655,1.029462513942364e-8
SpeciesBicolorDamselfish,-1.0994277942164723,0.4812067258557449,-2.2847307303557023,0.022328621553919282
Loom_Speed,1.371663343511315,0.16801005400628768,8.164174171743205,3.2364165078300753e-16
Orientation_Angle,-0.04554284457210476,0.14458097304426662,-0.31499887995746734,0.7527625042748225
Viewing_Angle,-0.6385180625592115,0.13794249024509414,-4.628871505978341,3.6766380231714044e-6
Distance_to_Coral,0.10592584840055119,0.17225877514191051,0.6149228003815027,0.5386057045553401
Distance_to_Stimulus,-0.9835719002162744,0.1904130445486821,-5.165464911017736,2.398420212106433e-7
Trial_Event,-0.25891334658721954,0.15762241555661882,-1.6426175533023504,0.1004620866503706
Neighbor_Proximity,-0.6228488696397086,0.736866108595221,-0.8452673591232504,0.39796158110123864
