predictor,AIC,species_estimate,species_se,species_p
None,546.8026964423063,-1.657007284878721,0.3674320187004307,6.492010680497679e-6
log_Distance_to_Coral,528.3508004153855,-1.0329726240734631,0.4092026705279562,0.011591095908495264
log_Distance_to_Stimulus,489.46780733509934,-1.4056235076931762,0.39107223361995336,3.2528859328406003e-4
Viewing_Angle,513.3273307757258,-1.5903904539468452,0.38578786690109895,3.7486710831505724e-5
"ns(Loom_Speed, 3)",429.7175779413178,-1.7085138546386034,0.40950669550954066,3.0176962809049986e-5
"ns(Trial_Event, 3)",544.0046162212986,-1.6562733507958605,0.3703054075011941,7.722995101363569e-6
Neighbor_Proximity,547.2148706190025,-1.651864901898103,0.3665128914641144,6.5757986615470544e-6
Orientation_Angle,548.5736303031352,-1.6590780609009472,0.3677946180575044,6.455867888964984e-6
